Brand,Category_Name,Color,Discount,Gender,ProductID,Product_Description,Product_Name,SKU,Selling_Price,Size,Sub-Category,error_reason
Adidas,Sports & Fitness,Grey,25,nan,PROD_00989,"Enhances performance with ergonomic design and superior durability. Ideal for athletes, fitness enthusiasts, and casual users.",Adidas Fitness Accessories Deluxe,SKU-SPO-0989,56307.75,nan,Fitness Accessories,Gender: invalid value | Size: invalid value
Adidas,Sports & Fitness,Grey,25,nan,PROD_01005,"Reliable and stylish gear designed for comfort, efficiency, and endurance. Suitable for both indoor and outdoor sports activities.",Adidas Fitness Accessories Pro,SKU-SPO-1005,16486.5,nan,Fitness Accessories,Gender: invalid value | Size: invalid value
Adidas,Sports & Fitness,Grey,25,nan,PROD_01017,"Combines practicality, durability, and modern design, providing an excellent experience for sports and fitness routines.",Adidas Cricket Pro,SKU-SPO-1017,73495.5,nan,Cricket,Gender: invalid value | Size: invalid value
Adidas,Sports & Fitness,Grey,30,nan,PROD_01067,"Combines practicality, durability, and modern design, providing an excellent experience for sports and fitness routines.",Adidas Cardio Equipment Premium,SKU-SPO-1067,14635.6,nan,Cardio Equipment,Gender: invalid value | Size: invalid value
Adidas,Sports & Fitness,Maroon,5,nan,PROD_01022,"Combines practicality, durability, and modern design, providing an excellent experience for sports and fitness routines.",Adidas Cricket Classic,SKU-SPO-1022,87700.2,nan,Cricket,Gender: invalid value | Size: invalid value
Adidas,Sports & Fitness,Maroon,10,nan,PROD_01057,"Combines practicality, durability, and modern design, providing an excellent experience for sports and fitness routines.",Adidas Badminton Deluxe,SKU-SPO-1057,33057.0,nan,Badminton,Gender: invalid value | Size: invalid value
Adidas,Sports & Fitness,Pink,10,nan,PROD_01071,"Enhances performance with ergonomic design and superior durability. Ideal for athletes, fitness enthusiasts, and casual users.",Adidas Cardio Equipment Premium,SKU-SPO-1071,77466.6,nan,Cardio Equipment,Gender: invalid value | Size: invalid value
Adidas,Sports & Fitness,Pink,25,nan,PROD_00987,"Enhances performance with ergonomic design and superior durability. Ideal for athletes, fitness enthusiasts, and casual users.",Adidas Fitness Accessories Advanced,SKU-SPO-0987,31824.0,nan,Fitness Accessories,Gender: invalid value | Size: invalid value
Adidas,Sports & Fitness,Pink,25,nan,PROD_01062,"Reliable and stylish gear designed for comfort, efficiency, and endurance. Suitable for both indoor and outdoor sports activities.",Adidas Cardio Equipment Advanced,SKU-SPO-1062,44711.25,nan,Cardio Equipment,Gender: invalid value | Size: invalid value
Adidas,Sports & Fitness,Red,10,nan,PROD_01065,"Enhances performance with ergonomic design and superior durability. Ideal for athletes, fitness enthusiasts, and casual users.",Adidas Cardio Equipment Premium,SKU-SPO-1065,68850.9,nan,Cardio Equipment,Gender: invalid value | Size: invalid value
Adidas,Sports & Fitness,Red,20,nan,PROD_01015,"Enhances performance with ergonomic design and superior durability. Ideal for athletes, fitness enthusiasts, and casual users.",Adidas Cricket Advanced,SKU-SPO-1015,27198.4,nan,Cricket,Gender: invalid value | Size: invalid value
Adidas,Sports & Fitness,White,15,nan,PROD_01060,"Reliable and stylish gear designed for comfort, efficiency, and endurance. Suitable for both indoor and outdoor sports activities.",Adidas Badminton Classic,SKU-SPO-1060,8887.6,nan,Badminton,Gender: invalid value | Size: invalid value
Adidas,Sports & Fitness,White,25,nan,PROD_01036,"Enhances performance with ergonomic design and superior durability. Ideal for athletes, fitness enthusiasts, and casual users.",Adidas Cricket Premium,SKU-SPO-1036,56668.5,nan,Cricket,Gender: invalid value | Size: invalid value
Adidas,Sports & Fitness,White,30,nan,PROD_01021,"Enhances performance with ergonomic design and superior durability. Ideal for athletes, fitness enthusiasts, and casual users.",Adidas Cricket Deluxe,SKU-SPO-1021,4862.9,nan,Cricket,Gender: invalid value | Size: invalid value
Apple,Electronics,Beige,5,nan,PROD_00758,"This product combines cutting-edge technology, stylish design, and excellent functionality. Ideal for daily use, entertainment, and productivity.",Apple Watches Advanced,SKU-ELE-0758,1032.65,nan,Watches,Gender: invalid value | Size: invalid value
Apple,Electronics,Beige,10,nan,PROD_00572,"Offers an immersive experience with fast processing, sharp visuals, and durable build quality. Designed keeping Indian users in mind.",Apple TV Classic,SKU-ELE-0572,27756.0,nan,TV,Gender: invalid value | Size: invalid value
Apple,Electronics,Beige,20,nan,PROD_00668,"This product combines cutting-edge technology, stylish design, and excellent functionality. Ideal for daily use, entertainment, and productivity.",Apple Mobiles Deluxe,SKU-ELE-0668,73799.2,nan,Mobiles,Gender: invalid value | Size: invalid value
Apple,Electronics,Black,10,nan,PROD_00617,"This product combines cutting-edge technology, stylish design, and excellent functionality. Ideal for daily use, entertainment, and productivity.",Apple TV Pro,SKU-ELE-0617,632.7,nan,TV,Gender: invalid value | Size: invalid value
Apple,Electronics,Black,15,nan,PROD_00530,"Experience unmatched performance with latest features, high-resolution display, and extended battery life. Perfect for professionals, students, and tech enthusiasts seeking reliable gadgets in India.",Apple Laptops Advanced,SKU-ELE-0530,51060.35,nan,Laptops,Gender: invalid value | Size: invalid value
Apple,Electronics,Black,15,nan,PROD_00574,"Experience unmatched performance with latest features, high-resolution display, and extended battery life. Perfect for professionals, students, and tech enthusiasts seeking reliable gadgets in India.",Apple TV Deluxe,SKU-ELE-0574,82558.8,nan,TV,Gender: invalid value | Size: invalid value
Apple,Electronics,Black,15,nan,PROD_00638,"Experience unmatched performance with latest features, high-resolution display, and extended battery life. Perfect for professionals, students, and tech enthusiasts seeking reliable gadgets in India.",Apple Headphones Advanced,SKU-ELE-0638,71469.7,nan,Headphones,Gender: invalid value | Size: invalid value
Apple,Electronics,Black,20,nan,PROD_00728,"This product combines cutting-edge technology, stylish design, and excellent functionality. Ideal for daily use, entertainment, and productivity.",Apple Mobiles Classic,SKU-ELE-0728,69084.8,nan,Mobiles,Gender: invalid value | Size: invalid value
Apple,Electronics,Black,25,nan,PROD_00694,"This product combines cutting-edge technology, stylish design, and excellent functionality. Ideal for daily use, entertainment, and productivity.",Apple Mobiles Premium,SKU-ELE-0694,27124.5,nan,Mobiles,Gender: invalid value | Size: invalid value
Apple,Electronics,Black,25,nan,PROD_00732,"This product combines cutting-edge technology, stylish design, and excellent functionality. Ideal for daily use, entertainment, and productivity.",Apple Cameras Pro,SKU-ELE-0732,11550.75,nan,Cameras,Gender: invalid value | Size: invalid value
Apple,Electronics,Black,30,nan,PROD_00582,"Experience unmatched performance with latest features, high-resolution display, and extended battery life. Perfect for professionals, students, and tech enthusiasts seeking reliable gadgets in India.",Apple TV Advanced,SKU-ELE-0582,22996.4,nan,TV,Gender: invalid value | Size: invalid value
Apple,Electronics,Blue,5,nan,PROD_00707,"Offers an immersive experience with fast processing, sharp visuals, and durable build quality. Designed keeping Indian users in mind.",Apple Mobiles Premium,SKU-ELE-0707,31948.5,nan,Mobiles,Gender: invalid value | Size: invalid value
Apple,Electronics,Blue,20,nan,PROD_00561,"Offers an immersive experience with fast processing, sharp visuals, and durable build quality. Designed keeping Indian users in mind.",Apple Laptops Pro,SKU-ELE-0561,52610.4,nan,Laptops,Gender: invalid value | Size: invalid value
Apple,Electronics,Blue,25,nan,PROD_00725,"This product combines cutting-edge technology, stylish design, and excellent functionality. Ideal for daily use, entertainment, and productivity.",Apple Mobiles Pro,SKU-ELE-0725,11777.25,nan,Mobiles,Gender: invalid value | Size: invalid value
Apple,Electronics,Blue,30,nan,PROD_00504,"Offers an immersive experience with fast processing, sharp visuals, and durable build quality. Designed keeping Indian users in mind.",Apple Computers Pro,SKU-ELE-0504,50097.6,nan,Computers,Gender: invalid value | Size: invalid value
Apple,Electronics,Green,5,nan,PROD_00598,"Offers an immersive experience with fast processing, sharp visuals, and durable build quality. Designed keeping Indian users in mind.",Apple TV Deluxe,SKU-ELE-0598,62920.4,nan,TV,Gender: invalid value | Size: invalid value
Apple,Electronics,Green,15,nan,PROD_00629,"This product combines cutting-edge technology, stylish design, and excellent functionality. Ideal for daily use, entertainment, and productivity.",Apple Headphones Pro,SKU-ELE-0629,3476.5,nan,Headphones,Gender: invalid value | Size: invalid value
Apple,Electronics,Grey,5,nan,PROD_00749,"Offers an immersive experience with fast processing, sharp visuals, and durable build quality. Designed keeping Indian users in mind.",Apple Cameras Classic,SKU-ELE-0749,28656.75,nan,Cameras,Gender: invalid value | Size: invalid value
Apple,Electronics,Grey,10,nan,PROD_00623,"Offers an immersive experience with fast processing, sharp visuals, and durable build quality. Designed keeping Indian users in mind.",Apple Headphones Pro,SKU-ELE-0623,80793.0,nan,Headphones,Gender: invalid value | Size: invalid value
Apple,Electronics,Maroon,5,nan,PROD_00566,"Experience unmatched performance with latest features, high-resolution display, and extended battery life. Perfect for professionals, students, and tech enthusiasts seeking reliable gadgets in India.",Apple Laptops Advanced,SKU-ELE-0566,31934.25,nan,Laptops,Gender: invalid value | Size: invalid value
Apple,Electronics,Maroon,10,nan,PROD_00660,"This product combines cutting-edge technology, stylish design, and excellent functionality. Ideal for daily use, entertainment, and productivity.",Apple Headphones Pro,SKU-ELE-0660,13906.8,nan,Headphones,Gender: invalid value | Size: invalid value
Apple,Electronics,Maroon,10,nan,PROD_00674,"This product combines cutting-edge technology, stylish design, and excellent functionality. Ideal for daily use, entertainment, and productivity.",Apple Mobiles Deluxe,SKU-ELE-0674,74792.7,nan,Mobiles,Gender: invalid value | Size: invalid value
Apple,Electronics,Maroon,15,nan,PROD_00471,"Offers an immersive experience with fast processing, sharp visuals, and durable build quality. Designed keeping Indian users in mind.",Apple Computers Premium,SKU-ELE-0471,21125.9,nan,Computers,Gender: invalid value | Size: invalid value
Apple,Electronics,Maroon,15,nan,PROD_00708,"This product combines cutting-edge technology, stylish design, and excellent functionality. Ideal for daily use, entertainment, and productivity.",Apple Mobiles Advanced,SKU-ELE-0708,16320.0,nan,Mobiles,Gender: invalid value | Size: invalid value
Apple,Electronics,Maroon,20,nan,PROD_00540,"Offers an immersive experience with fast processing, sharp visuals, and durable build quality. Designed keeping Indian users in mind.",Apple Laptops Premium,SKU-ELE-0540,63352.8,nan,Laptops,Gender: invalid value | Size: invalid value
Apple,Electronics,Maroon,25,nan,PROD_00590,"This product combines cutting-edge technology, stylish design, and excellent functionality. Ideal for daily use, entertainment, and productivity.",Apple TV Pro,SKU-ELE-0590,51000.75,nan,TV,Gender: invalid value | Size: invalid value
Apple,Electronics,Maroon,25,nan,PROD_00683,"Experience unmatched performance with latest features, high-resolution display, and extended battery life. Perfect for professionals, students, and tech enthusiasts seeking reliable gadgets in India.",Apple Mobiles Deluxe,SKU-ELE-0683,19602.0,nan,Mobiles,Gender: invalid value | Size: invalid value
Apple,Electronics,Maroon,30,nan,PROD_00462,"This product combines cutting-edge technology, stylish design, and excellent functionality. Ideal for daily use, entertainment, and productivity.",Apple Computers Advanced,SKU-ELE-0462,47920.6,nan,Computers,Gender: invalid value | Size: invalid value
Apple,Electronics,Navy,15,nan,PROD_00554,"Experience unmatched performance with latest features, high-resolution display, and extended battery life. Perfect for professionals, students, and tech enthusiasts seeking reliable gadgets in India.",Apple Laptops Deluxe,SKU-ELE-0554,38249.15,nan,Laptops,Gender: invalid value | Size: invalid value
Apple,Electronics,Navy,15,nan,PROD_00735,"Experience unmatched performance with latest features, high-resolution display, and extended battery life. Perfect for professionals, students, and tech enthusiasts seeking reliable gadgets in India.",Apple Cameras Advanced,SKU-ELE-0735,16587.75,nan,Cameras,Gender: invalid value | Size: invalid value
Apple,Electronics,Navy,25,nan,PROD_00588,"Experience unmatched performance with latest features, high-resolution display, and extended battery life. Perfect for professionals, students, and tech enthusiasts seeking reliable gadgets in India.",Apple TV Pro,SKU-ELE-0588,44735.25,nan,TV,Gender: invalid value | Size: invalid value
Apple,Electronics,Navy,25,nan,PROD_00615,"This product combines cutting-edge technology, stylish design, and excellent functionality. Ideal for daily use, entertainment, and productivity.",Apple TV Classic,SKU-ELE-0615,59469.0,nan,TV,Gender: invalid value | Size: invalid value
Apple,Electronics,Navy,25,nan,PROD_00659,"Offers an immersive experience with fast processing, sharp visuals, and durable build quality. Designed keeping Indian users in mind.",Apple Headphones Pro,SKU-ELE-0659,27881.25,nan,Headphones,Gender: invalid value | Size: invalid value
Apple,Electronics,Navy,30,nan,PROD_00560,"Offers an immersive experience with fast processing, sharp visuals, and durable build quality. Designed keeping Indian users in mind.",Apple Laptops Deluxe,SKU-ELE-0560,34686.4,nan,Laptops,Gender: invalid value | Size: invalid value
Apple,Electronics,Pink,5,nan,PROD_00639,"Offers an immersive experience with fast processing, sharp visuals, and durable build quality. Designed keeping Indian users in mind.",Apple Headphones Pro,SKU-ELE-0639,78361.7,nan,Headphones,Gender: invalid value | Size: invalid value
Apple,Electronics,Pink,5,nan,PROD_00690,"Offers an immersive experience with fast processing, sharp visuals, and durable build quality. Designed keeping Indian users in mind.",Apple Mobiles Advanced,SKU-ELE-0690,23118.25,nan,Mobiles,Gender: invalid value | Size: invalid value
Apple,Electronics,Pink,10,nan,PROD_00656,"Offers an immersive experience with fast processing, sharp visuals, and durable build quality. Designed keeping Indian users in mind.",Apple Headphones Deluxe,SKU-ELE-0656,37459.8,nan,Headphones,Gender: invalid value | Size: invalid value
Apple,Electronics,Red,5,nan,PROD_00581,"Offers an immersive experience with fast processing, sharp visuals, and durable build quality. Designed keeping Indian users in mind.",Apple TV Classic,SKU-ELE-0581,20824.0,nan,TV,Gender: invalid value | Size: invalid value
Apple,Electronics,Red,5,nan,PROD_00663,"Experience unmatched performance with latest features, high-resolution display, and extended battery life. Perfect for professionals, students, and tech enthusiasts seeking reliable gadgets in India.",Apple Mobiles Deluxe,SKU-ELE-0663,51628.7,nan,Mobiles,Gender: invalid value | Size: invalid value
Apple,Electronics,Red,10,nan,PROD_00616,"This product combines cutting-edge technology, stylish design, and excellent functionality. Ideal for daily use, entertainment, and productivity.",Apple TV Premium,SKU-ELE-0616,7197.3,nan,TV,Gender: invalid value | Size: invalid value
Apple,Electronics,Red,10,nan,PROD_00700,"This product combines cutting-edge technology, stylish design, and excellent functionality. Ideal for daily use, entertainment, and productivity.",Apple Mobiles Advanced,SKU-ELE-0700,12959.1,nan,Mobiles,Gender: invalid value | Size: invalid value
Apple,Electronics,Red,20,nan,PROD_00634,"This product combines cutting-edge technology, stylish design, and excellent functionality. Ideal for daily use, entertainment, and productivity.",Apple Headphones Classic,SKU-ELE-0634,2874.4,nan,Headphones,Gender: invalid value | Size: invalid value
Apple,Electronics,Red,25,nan,PROD_00555,"Experience unmatched performance with latest features, high-resolution display, and extended battery life. Perfect for professionals, students, and tech enthusiasts seeking reliable gadgets in India.",Apple Laptops Premium,SKU-ELE-0555,42316.5,nan,Laptops,Gender: invalid value | Size: invalid value
Apple,Electronics,Red,30,nan,PROD_00497,"Offers an immersive experience with fast processing, sharp visuals, and durable build quality. Designed keeping Indian users in mind.",Apple Computers Deluxe,SKU-ELE-0497,45388.7,nan,Computers,Gender: invalid value | Size: invalid value
Apple,Electronics,White,10,nan,PROD_00762,"Experience unmatched performance with latest features, high-resolution display, and extended battery life. Perfect for professionals, students, and tech enthusiasts seeking reliable gadgets in India.",Apple Watches Deluxe,SKU-ELE-0762,87527.7,nan,Watches,Gender: invalid value | Size: invalid value
Apple,Electronics,White,25,nan,PROD_00609,"This product combines cutting-edge technology, stylish design, and excellent functionality. Ideal for daily use, entertainment, and productivity.",Apple TV Premium,SKU-ELE-0609,20817.0,nan,TV,Gender: invalid value | Size: invalid value
Boat,Electronics,Beige,5,nan,PROD_00525,"This product combines cutting-edge technology, stylish design, and excellent functionality. Ideal for daily use, entertainment, and productivity.",Boat Laptops Advanced,SKU-ELE-0525,74147.5,nan,Laptops,Gender: invalid value | Size: invalid value
Boat,Electronics,Beige,10,nan,PROD_00477,"Offers an immersive experience with fast processing, sharp visuals, and durable build quality. Designed keeping Indian users in mind.",Boat Computers Premium,SKU-ELE-0477,67164.3,nan,Computers,Gender: invalid value | Size: invalid value
Boat,Electronics,Beige,15,nan,PROD_00570,"Experience unmatched performance with latest features, high-resolution display, and extended battery life. Perfect for professionals, students, and tech enthusiasts seeking reliable gadgets in India.",Boat Laptops Pro,SKU-ELE-0570,13940.0,nan,Laptops,Gender: invalid value | Size: invalid value
Boat,Electronics,Beige,15,nan,PROD_00754,"Offers an immersive experience with fast processing, sharp visuals, and durable build quality. Designed keeping Indian users in mind.",Boat Watches Pro,SKU-ELE-0754,42232.25,nan,Watches,Gender: invalid value | Size: invalid value
Boat,Electronics,Beige,20,nan,PROD_00559,"Experience unmatched performance with latest features, high-resolution display, and extended battery life. Perfect for professionals, students, and tech enthusiasts seeking reliable gadgets in India.",Boat Laptops Deluxe,SKU-ELE-0559,45576.8,nan,Laptops,Gender: invalid value | Size: invalid value
Boat,Electronics,Beige,20,nan,PROD_00692,"Experience unmatched performance with latest features, high-resolution display, and extended battery life. Perfect for professionals, students, and tech enthusiasts seeking reliable gadgets in India.",Boat Mobiles Pro,SKU-ELE-0692,62877.6,nan,Mobiles,Gender: invalid value | Size: invalid value
Boat,Electronics,Beige,30,nan,PROD_00712,"Offers an immersive experience with fast processing, sharp visuals, and durable build quality. Designed keeping Indian users in mind.",Boat Mobiles Pro,SKU-ELE-0712,6227.9,nan,Mobiles,Gender: invalid value | Size: invalid value
Boat,Electronics,Black,15,nan,PROD_00481,"Offers an immersive experience with fast processing, sharp visuals, and durable build quality. Designed keeping Indian users in mind.",Boat Computers Pro,SKU-ELE-0481,13876.25,nan,Computers,Gender: invalid value | Size: invalid value
Boat,Electronics,Black,20,nan,PROD_00468,"Experience unmatched performance with latest features, high-resolution display, and extended battery life. Perfect for professionals, students, and tech enthusiasts seeking reliable gadgets in India.",Boat Computers Classic,SKU-ELE-0468,7062.4,nan,Computers,Gender: invalid value | Size: invalid value
Boat,Electronics,Black,20,nan,PROD_00509,"Offers an immersive experience with fast processing, sharp visuals, and durable build quality. Designed keeping Indian users in mind.",Boat Computers Deluxe,SKU-ELE-0509,50700.0,nan,Computers,Gender: invalid value | Size: invalid value
Boat,Electronics,Black,20,nan,PROD_00666,"Experience unmatched performance with latest features, high-resolution display, and extended battery life. Perfect for professionals, students, and tech enthusiasts seeking reliable gadgets in India.",Boat Mobiles Classic,SKU-ELE-0666,56213.6,nan,Mobiles,Gender: invalid value | Size: invalid value
Boat,Electronics,Black,20,nan,PROD_00702,"Offers an immersive experience with fast processing, sharp visuals, and durable build quality. Designed keeping Indian users in mind.",Boat Mobiles Advanced,SKU-ELE-0702,49256.0,nan,Mobiles,Gender: invalid value | Size: invalid value
Boat,Electronics,Black,25,nan,PROD_00767,"This product combines cutting-edge technology, stylish design, and excellent functionality. Ideal for daily use, entertainment, and productivity.",Boat Watches Pro,SKU-ELE-0767,73480.5,nan,Watches,Gender: invalid value | Size: invalid value
Boat,Electronics,Blue,5,nan,PROD_00603,"Experience unmatched performance with latest features, high-resolution display, and extended battery life. Perfect for professionals, students, and tech enthusiasts seeking reliable gadgets in India.",Boat TV Classic,SKU-ELE-0603,90003.95,nan,TV,Gender: invalid value | Size: invalid value
Boat,Electronics,Blue,10,nan,PROD_00515,"This product combines cutting-edge technology, stylish design, and excellent functionality. Ideal for daily use, entertainment, and productivity.",Boat Laptops Deluxe,SKU-ELE-0515,819.9,nan,Laptops,Gender: invalid value | Size: invalid value
Boat,Electronics,Blue,20,nan,PROD_00715,"Offers an immersive experience with fast processing, sharp visuals, and durable build quality. Designed keeping Indian users in mind.",Boat Mobiles Premium,SKU-ELE-0715,75305.6,nan,Mobiles,Gender: invalid value | Size: invalid value
Boat,Electronics,Blue,25,nan,PROD_00697,"This product combines cutting-edge technology, stylish design, and excellent functionality. Ideal for daily use, entertainment, and productivity.",Boat Mobiles Classic,SKU-ELE-0697,69375.0,nan,Mobiles,Gender: invalid value | Size: invalid value
Boat,Electronics,Green,5,nan,PROD_00745,"This product combines cutting-edge technology, stylish design, and excellent functionality. Ideal for daily use, entertainment, and productivity.",Boat Cameras Premium,SKU-ELE-0745,70212.6,nan,Cameras,Gender: invalid value | Size: invalid value
Boat,Electronics,Green,10,nan,PROD_00594,"This product combines cutting-edge technology, stylish design, and excellent functionality. Ideal for daily use, entertainment, and productivity.",Boat TV Deluxe,SKU-ELE-0594,47648.7,nan,TV,Gender: invalid value | Size: invalid value
Boat,Electronics,Green,20,nan,PROD_00552,"Offers an immersive experience with fast processing, sharp visuals, and durable build quality. Designed keeping Indian users in mind.",Boat Laptops Premium,SKU-ELE-0552,20924.0,nan,Laptops,Gender: invalid value | Size: invalid value
Boat,Electronics,Green,25,nan,PROD_00661,"Experience unmatched performance with latest features, high-resolution display, and extended battery life. Perfect for professionals, students, and tech enthusiasts seeking reliable gadgets in India.",Boat Mobiles Pro,SKU-ELE-0661,29175.0,nan,Mobiles,Gender: invalid value | Size: invalid value
Boat,Electronics,Green,25,nan,PROD_00727,"This product combines cutting-edge technology, stylish design, and excellent functionality. Ideal for daily use, entertainment, and productivity.",Boat Mobiles Advanced,SKU-ELE-0727,62554.5,nan,Mobiles,Gender: invalid value | Size: invalid value
Boat,Electronics,Green,30,nan,PROD_00469,"Offers an immersive experience with fast processing, sharp visuals, and durable build quality. Designed keeping Indian users in mind.",Boat Computers Deluxe,SKU-ELE-0469,28314.3,nan,Computers,Gender: invalid value | Size: invalid value
Boat,Electronics,Green,30,nan,PROD_00531,"Experience unmatched performance with latest features, high-resolution display, and extended battery life. Perfect for professionals, students, and tech enthusiasts seeking reliable gadgets in India.",Boat Laptops Pro,SKU-ELE-0531,26135.9,nan,Laptops,Gender: invalid value | Size: invalid value
Boat,Electronics,Green,30,nan,PROD_00613,"Offers an immersive experience with fast processing, sharp visuals, and durable build quality. Designed keeping Indian users in mind.",Boat TV Advanced,SKU-ELE-0613,63422.8,nan,TV,Gender: invalid value | Size: invalid value
Boat,Electronics,Grey,5,nan,PROD_00513,"Offers an immersive experience with fast processing, sharp visuals, and durable build quality. Designed keeping Indian users in mind.",Boat Laptops Deluxe,SKU-ELE-0513,61226.55,nan,Laptops,Gender: invalid value | Size: invalid value
Boat,Electronics,Grey,5,nan,PROD_00606,"Offers an immersive experience with fast processing, sharp visuals, and durable build quality. Designed keeping Indian users in mind.",Boat TV Classic,SKU-ELE-0606,79688.85,nan,TV,Gender: invalid value | Size: invalid value
Boat,Electronics,Grey,5,nan,PROD_00653,"Experience unmatched performance with latest features, high-resolution display, and extended battery life. Perfect for professionals, students, and tech enthusiasts seeking reliable gadgets in India.",Boat Headphones Deluxe,SKU-ELE-0653,74024.0,nan,Headphones,Gender: invalid value | Size: invalid value
Boat,Electronics,Grey,10,nan,PROD_00724,"Offers an immersive experience with fast processing, sharp visuals, and durable build quality. Designed keeping Indian users in mind.",Boat Mobiles Premium,SKU-ELE-0724,63495.0,nan,Mobiles,Gender: invalid value | Size: invalid value
Boat,Electronics,Grey,15,nan,PROD_00516,"Offers an immersive experience with fast processing, sharp visuals, and durable build quality. Designed keeping Indian users in mind.",Boat Laptops Pro,SKU-ELE-0516,63462.7,nan,Laptops,Gender: invalid value | Size: invalid value
Boat,Electronics,Grey,15,nan,PROD_00776,"Experience unmatched performance with latest features, high-resolution display, and extended battery life. Perfect for professionals, students, and tech enthusiasts seeking reliable gadgets in India.",Boat Watches Premium,SKU-ELE-0776,58290.45,nan,Watches,Gender: invalid value | Size: invalid value
Boat,Electronics,Grey,20,nan,PROD_00680,"Experience unmatched performance with latest features, high-resolution display, and extended battery life. Perfect for professionals, students, and tech enthusiasts seeking reliable gadgets in India.",Boat Mobiles Deluxe,SKU-ELE-0680,54762.4,nan,Mobiles,Gender: invalid value | Size: invalid value
Boat,Electronics,Grey,20,nan,PROD_00721,"Experience unmatched performance with latest features, high-resolution display, and extended battery life. Perfect for professionals, students, and tech enthusiasts seeking reliable gadgets in India.",Boat Mobiles Classic,SKU-ELE-0721,78236.8,nan,Mobiles,Gender: invalid value | Size: invalid value
Boat,Electronics,Grey,25,nan,PROD_00524,"This product combines cutting-edge technology, stylish design, and excellent functionality. Ideal for daily use, entertainment, and productivity.",Boat Laptops Pro,SKU-ELE-0524,71466.0,nan,Laptops,Gender: invalid value | Size: invalid value
Boat,Electronics,Grey,25,nan,PROD_00571,"Experience unmatched performance with latest features, high-resolution display, and extended battery life. Perfect for professionals, students, and tech enthusiasts seeking reliable gadgets in India.",Boat TV Advanced,SKU-ELE-0571,37542.75,nan,TV,Gender: invalid value | Size: invalid value
Boat,Electronics,Grey,30,nan,PROD_00592,"Offers an immersive experience with fast processing, sharp visuals, and durable build quality. Designed keeping Indian users in mind.",Boat TV Premium,SKU-ELE-0592,52483.9,nan,TV,Gender: invalid value | Size: invalid value
Boat,Electronics,Maroon,5,nan,PROD_00654,"This product combines cutting-edge technology, stylish design, and excellent functionality. Ideal for daily use, entertainment, and productivity.",Boat Headphones Premium,SKU-ELE-0654,74334.65,nan,Headphones,Gender: invalid value | Size: invalid value
Boat,Electronics,Maroon,10,nan,PROD_00544,"Offers an immersive experience with fast processing, sharp visuals, and durable build quality. Designed keeping Indian users in mind.",Boat Laptops Advanced,SKU-ELE-0544,8255.7,nan,Laptops,Gender: invalid value | Size: invalid value
